"","id","mb06","mb01","au01","au01_desc","ta01","ta01_desc","rc01","rc01_desc","lma58_91","lma140_91","lma140_91_desc","geo_coding_quality","property_type","totalbeds","doublebeds","singlebeds","prop_cnstr_date","latest_prop_status","previous_prop_status","lastest_change_date","lastest_change_year","lastest_change_month","takeover_date","takeover_year","takeover_month","property_status","property_sold","property_current","property_destroyed","settled_date","settled_year","settled_month","sales_data_missing","sale_type","sale_price","auckland_takeover","community_sales","destroyed_date"
"35166",125601,869800,869800,529800,"Clarkin",16,"Hamilton City",3,"Waikato Region",14,30,"Hamilton","Provided by HNZC","Double Unit",1,1,0,1950,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"24361",114622,707300,707300,523601,"Otara South",8,"Manukau City",2,"Auckland Region",8,15,"Manukau","Provided by HNZC","Single Unit",3,2,1,1964,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"67736",157607,2311900,2311900,581400,"Kaikoura Township",54,"Kaikoura District",13,"Canterbury Region",46,100,"Kaikoura","Reliably coded through CRS, or obtained via google API and verified","Single Unit",2,2,0,1947,"Deleted","Let","25dec1996",1996,12,"01mar1986",1986,3,"Sold",1,0,0,"23dec1996",1996,12,0,"Vacant Sale",67000,0,0,""
"10047",106863,413300,413300,514000,"Freemans Bay",7,"Auckland City",2,"Auckland Region",7,13,"Central Auckland","Provided by HNZC","Complex",2,2,0,1993,"","","",NA,NA,"26feb1993",1993,2,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"74244",161745,2601100,2601100,592812,"Dallington",60,"Christchurch City",13,"Canterbury Region",48,109,"Christchurch","Reliably coded through CRS, or obtained via google API and verified","Single Unit",2,2,0,1953,"Deleted","Vac Homebuy","24dec1998",1998,12,"01mar1986",1986,3,"Sold",1,0,0,"15dec1998",1998,12,0,"Homebuy Sale",89300,0,0,""
"1636",117168,96100,96100,502800,"Regent",2,"Whangarei District",1,"Northland Region",4,8,"Whangarei","Provided by HNZC","Complex",3,2,1,1977,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"12227",109330,475100,475100,517001,"Glen Innes West",7,"Auckland City",2,"Auckland Region",8,15,"Manukau","Provided by HNZC","Double Unit",2,2,0,1950,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"12561",111095,476700,476700,517002,"Glen Innes East",7,"Auckland City",2,"Auckland Region",8,15,"Manukau","Provided by HNZC","Single Unit",3,3,0,1956,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"46476",176225,1447600,1447600,547400,"Pirimai",31,"Napier City",6,"Hawke's Bay Region",26,60,"Napier","Provided by HNZC","Multi Unit",2,2,0,1986,"","","",NA,NA,"07aug2006",2006,8,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"74483",165523,2609900,2609900,593501,"Linwood",60,"Christchurch City",13,"Canterbury Region",48,109,"Christchurch","Provided by HNZC","Single Unit",3,1,2,1983,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"28622",116674,743100,743100,524112,"Mascot",8,"Manukau City",2,"Auckland Region",8,15,"Manukau","Provided by HNZC","Single Unit",3,2,1,1971,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"75405",101764,2643700,2643700,595000,"Spreydon",60,"Christchurch City",13,"Canterbury Region",48,109,"Christchurch","Provided by HNZC","Double Unit",2,1,1,1973,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"13870",169300,497500,497500,516400,"Orakei North",7,"Auckland City",2,"Auckland Region",7,13,"Central Auckland","Provided by HNZC","Single Unit",2,2,0,1988,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
