"Race","Tournament","Date"
"RR1R1","RR","15-Jan"
"RR1R2","RR","15-Jan"
"RR1R3","RR","16-Jan"
"RR2R1","RR","16-Jan"
"RR2R2","RR","17-Jan"
"RR2R3","RR","17-Jan"
"RR3R1","RR","23-Jan"
"RR3R2","RR","23-Jan"
"RR3R3","RR","23-Jan"
"SFR1","SF","29-Jan"
"SFR2","SF","29-Jan"
"SFR3","SF","30-Jan"
"SFR4","SF","30-Jan"
"FR1","F","13-Feb"
"FR2","F","13-Feb"
"FR3","F","14-Feb"
"FR4","F","14-Feb"
"FR5","F","20-Feb"
"FR6","F","20-Feb"
"FR7","F","21-Feb"
"FR8","F","21-Feb"
"R1","AC","10-Mar"
"R2","AC","10-Mar"
"R3","AC","12-Mar"
"R4","AC","12-Mar"
"R5","AC","13-Mar"
"R6","AC","13-Mar"
"R7","AC","15-Mar"
"R8","AC","15-Mar"
"R9","AC","16-Mar"
"R10","AC","17-Mar"
