"Race","Code","Result"
"FR1","ITA","Win"
"FR1","UK","Loss"
"FR2","UK","Loss"
"FR2","ITA","Win"
"FR3","UK","Loss"
"FR3","ITA","Win"
"FR4","ITA","Win"
"FR4","UK","Loss"
"FR5","ITA","Win"
"FR5","UK","Loss"
"FR6","UK","Win"
"FR6","ITA","Loss"
"FR7","UK","Loss"
"FR7","ITA","Win"
"FR8","ITA","Win"
"FR8","UK","Loss"
"R1","NZ","Win"
"R1","ITA","Loss"
"R10","ITA","Loss"
"R10","NZ","Win"
"R2","ITA","Win"
"R2","NZ","Loss"
"R3","ITA","Win"
"R3","NZ","Loss"
"R4","NZ","Win"
"R4","ITA","Loss"
"R5","NZ","Loss"
"R5","ITA","Win"
"R6","ITA","Loss"
"R6","NZ","Win"
"R7","ITA","Loss"
"R7","NZ","Win"
"R8","NZ","Win"
"R8","ITA","Loss"
"R9","NZ","Win"
"R9","ITA","Loss"
"RR1R1","USA","Loss"
"RR1R1","UK","Win"
"RR1R2","UK","Win"
"RR1R2","ITA","Loss"
"RR1R3","ITA","Win"
"RR1R3","USA","DNF"
"RR2R1","UK","Win"
"RR2R1","USA","Loss"
"RR2R2","ITA","Loss"
"RR2R2","UK","Win"
"RR2R3","USA","DNF"
"RR2R3","ITA","Win"
"RR3R1","UK","Win"
"RR3R1","USA","Loss"
"RR3R2","ITA","Loss"
"RR3R2","UK","Win"
"RR3R3","USA","Loss"
"RR3R3","ITA","Win"
"SFR1","USA","Loss"
"SFR1","ITA","Win"
"SFR2","ITA","Win"
"SFR2","USA","Loss"
"SFR3","ITA","Win"
"SFR3","USA","Loss"
"SFR4","USA","Loss"
"SFR4","ITA","Win"
