OBJECTID,BASIC_COLOUR,BODY_TYPE,CC_RATING,CHASSIS7,FIRST_NZ_REGISTRATION_YEAR,FIRST_NZ_REGISTRATION_MONTH,GROSS_VEHICLE_MASS,HEIGHT,IMPORT_STATUS,MAKE,MODEL,MOTIVE_POWER,NUMBER_OF_AXLES,NUMBER_OF_SEATS,NZ_ASSEMBLED,ORIGINAL_COUNTRY,POWER_RATING,PREVIOUS_COUNTRY,ROAD_TRANSPORT_CODE,SUBMODEL,TLA,TRANSMISSION_TYPE,VDAM_WEIGHT,VEHICLE_TYPE,VEHICLE_USAGE,VEHICLE_YEAR
6001,WHITE,STATION WAGON,2199,,2011,9,2510,0,NEW,KIA,SORENTO,DIESEL,0,7,IMPORTED BUILT-UP,SOUTH KOREA,145,NONE,,2.2 DIESEL AUTO EX,DUNEDIN CITY,6-GEAR AUTO,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2011
6002,SILVER,STATION WAGON,2354,,2012,1,2270,0,NEW,HONDA,ODYSSEY,PETROL,2,7,IMPORTED BUILT-UP,JAPAN,133,NONE,,S,HAURAKI DISTRICT,5-GEAR AUTO,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2012
6003,GREY,HATCHBACK,2261,,2009,4,2165,0,NEW,FORD,MONDEO,PETROL,2,5,IMPORTED BUILT-UP,BELGIUM,118,NONE,,MONDEO ZETEC 2.3 AUT,KAPITI COAST DISTRICT,6-GEAR AUTO,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2009
6004,BLUE,HATCHBACK,1798,,2008,10,1805,0,NEW,TOYOTA,COROLLA,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,100,NONE,,1.8P GX HATCH 5 4A,CHRISTCHURCH CITY,4-GEAR AUTO,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2008
6005,BLUE,SALOON,2990,MCV30-6,2012,4,1795,0,USED,TOYOTA,WINDOM,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,,LOWER HUTT CITY,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2005
6006,SILVER,BOAT TRAILER,0,TW008,2012,3,2000,0,NEW,TRAILER,TRAILERWORX BOAT,,2,0,NZ ASSEMBLED/BUILT,NEW ZEALAND,0,NONE,,,AUCKLAND,,0,TRAILER/CARAVAN,OTHER GOODS,2012
6007,SILVER,STATION WAGON,1990,AZT250-,2011,4,1685,0,USED,TOYOTA,AVENSIS,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,,CHRISTCHURCH CITY,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2003
6008,BLACK,STATION WAGON,1496,NCP21-0,2010,3,1325,0,USED,TOYOTA,FUNCARGO,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,,AUCKLAND,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2001
6009,WHITE,UTILITY,3199,,2012,4,3200,0,NEW,FORD,RANGER,DIESEL,2,5,IMPORTED BUILT-UP,THAILAND,147,NONE,,3.2TD XLT DC W/SA4X4,TASMAN DISTRICT,6-GEAR AUTO,0,GOODS VAN/TRUCK/UTILITY,OTHER GOODS,2012
6010,WHITE,LIGHT VAN,2351,,2011,6,2505,0,NEW,MITSUBISHI,L300,PETROL,0,3,IMPORTED BUILT-UP,JAPAN,99,NONE,,2.4P LWB 5 DOOR,CHRISTCHURCH CITY,5-GEAR MANUAL,0,GOODS VAN/TRUCK/UTILITY,PRIVATE PASSENGER,2011
6011,BLUE,HATCHBACK,1998,,2011,12,1758,0,NEW,MAZDA,MAZDA3,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,113,NONE,,HATCH GSE 2.0 6A SKY,AUCKLAND,6-GEAR AUTO,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2011
6012,SILVER,HATCHBACK,1499,,2012,8,1490,0,NEW,MITSUBISHI,COLT,PETROL,0,5,IMPORTED BUILT-UP,JAPAN,78,NONE,,1.5P LS 5DR,HAMILTON CITY,CONTINUOUSLY VARIABLE,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2012
6013,WHITE,SALOON,1460,CS2A-07,2010,9,1405,0,USED,MITSUBISHI,LANCER,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,,AUCKLAND,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2005
6014,BLUE,SALOON,1598,,2012,8,1698,0,NEW,HOLDEN,BARINA,PETROL,2,5,IMPORTED BUILT-UP,SOUTH KOREA,85,NONE,,1.6 SEDAN AT,WHANGAREI DISTRICT,6-GEAR AUTO,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2012
6015,GOLD,SALOON,1496,NCP12-0,2012,7,1215,0,USED,TOYOTA,PLATZ,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,,WHANGANUI DISTRICT,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2000
6016,SILVER,STATION WAGON,2359,,2011,8,2050,0,NEW,KIA,SPORTAGE,PETROL,0,5,IMPORTED BUILT-UP,SOUTH KOREA,130,NONE,,2.4 PETROL AUTO,AUCKLAND,6-GEAR AUTO,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2011
6017,RED,HATCHBACK,1598,,2010,9,1550,0,NEW,HOLDEN,BARINA,PETROL,2,5,IMPORTED BUILT-UP,SOUTH KOREA,77,NONE,,5DR HATCH MANUAL,CENTRAL OTAGO DISTRICT,5-GEAR MANUAL,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2010
6018,GOLD,STATION WAGON,2362,ACR30-0,2011,9,2070,0,USED,TOYOTA,ESTIMA,PETROL,2,8,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,L X,AUCKLAND,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2001
6019,WHITE,UTILITY,2499,,2011,10,2870,0,NEW,FORD,RANGER,DIESEL,2,3,IMPORTED BUILT-UP,THAILAND,105,NONE,,2.5TD S/C W/S 4X2,CHRISTCHURCH CITY,5-GEAR MANUAL,0,GOODS VAN/TRUCK/UTILITY,PRIVATE PASSENGER,2011
6020,BLUE,SALOON,1797,,2011,9,1740,0,NEW,HYUNDAI,LANTRA,PETROL,2,5,IMPORTED BUILT-UP,SOUTH KOREA,110,NONE,,1.8 ELITE,INVERCARGILL CITY,6-GEAR AUTO,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2011
6021,BLUE,SALOON,1797,,2011,7,1740,0,NEW,HYUNDAI,LANTRA,PETROL,2,5,IMPORTED BUILT-UP,SOUTH KOREA,110,NONE,,1.8 ELITE,AUCKLAND,6-GEAR AUTO,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2011
6022,BLUE,HATCHBACK,1496,NZE151-,2012,9,1515,0,USED,TOYOTA,AURIS,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,,CHRISTCHURCH CITY,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2007
6023,SILVER,STATION WAGON,2970,,2011,10,2375,0,USED,BMW,X5,PETROL,2,5,IMPORTED BUILT-UP,UNITED KINGDOM,0,JAPAN,,,CHRISTCHURCH CITY,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2003
6024,RED,SALOON,1980,WVWZZZ9,2008,7,1575,0,USED,VOLKSWAGEN,BEETLE,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,,AUCKLAND,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2001
6025,GOLD,SALOON,2850,82369JH,1972,8,0,0,NEW,HOLDEN,TORANA,PETROL,0,5,UNKNOWN,NOT KNOWN,0,NONE,,,WAIKATO DISTRICT,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,1972
